Compra;;;;;Venda;;;;;
Empresa;Data;Qtd; Preço ; Total ;Data;Qtd;Preço; Total ; Lucro ;tx
MGLU3F;24/04/2020;2; R$ 47,14 ; R$ 94,28 ;24/04/2020;2; R$ 47,23 ; R$ 94,46 ; R$ 0,18 ;0,19%
MGLU3F;24/04/2020;2; R$ 46,98 ; R$ 93,96 ;24/04/2020;2; R$ 47,28 ; R$ 94,56 ; R$ 0,60 ;0,64%
MGLU3F;24/04/2020;2; R$ 46,95 ; R$ 93,90 ;27/04/2020;2; R$ 48,43 ; R$ 96,86 ; R$ 2,96 ;3,15%
ABEV3F;27/04/2020;2; R$ 11,63 ; R$ 23,26 ;27/04/2020;2; R$ 11,69 ; R$ 23,38 ; R$ 0,12 ;0,52%
MGLU3F;27/04/2020;2; R$ 48,11 ; R$ 96,22 ;27/04/2020;2; R$ 48,60 ; R$ 97,20 ; R$ 0,98 ;1,02%
MGLU3F;27/04/2020;2; R$ 48,54 ; R$ 97,08 ;27/04/2020;2; R$ 48,75 ; R$ 97,50 ; R$ 0,42 ;0,43%
MGLU3F;27/04/2020;2; R$ 48,53 ; R$ 97,06 ;27/04/2020;2; R$ 48,72 ; R$ 97,44 ; R$ 0,38 ;0,39%
PETR3F;27/04/2020;2; R$ 16,45 ; R$ 32,90 ;27/04/2020;2; R$ 16,50 ; R$ 33,00 ; R$ 0,10 ;0,30%
SPRI3F;27/04/2020;2; R$ 26,19 ; R$ 52,38 ;28/04/2020;2; R$ 26,00 ; R$ 52,00 ;-R$ 0,38 ;-0,73%
SPRI3F;27/04/2020;2; R$ 25,59 ; R$ 51,18 ;;2; R$ 10,51 ; R$ 21,02 ;-R$ 30,16 ;-58,93%
ABEV3F;28/04/2020;2; R$ 11,79 ; R$ 23,58 ;29/04/2020;2; R$ 11,87 ; R$ 23,74 ; R$ 0,16 ;0,68%
KLBN11F;28/04/2020;2; R$ 18,09 ; R$ 36,18 ;05/05/2020;2; R$ 18,74 ; R$ 37,48 ; R$ 1,30 ;3,59%
ABEV3F;30/04/2020;2; R$ 11,38 ; R$ 22,76 ;04/05/2020;2; R$ 11,48 ; R$ 22,96 ; R$ 0,20 ;0,88%
MGLU3F;05/05/2020;1; R$ 51,77 ; R$ 51,77 ;06/05/2021;1; R$ 53,46 ; R$ 53,46 ; R$ 1,69 ;3,26%
ABEV3F;06/05/2020;2; R$ 12,00 ; R$ 24,00 ;07/05/2020;2; R$ 12,18 ; R$ 24,36 ; R$ 0,36 ;1,50%
KLBN11F;06/05/2020;2; R$ 18,74 ; R$ 37,48 ;07/05/2020;2; R$ 19,55 ; R$ 39,10 ; R$ 1,62 ;4,32%
PETR3F;06/05/2020;2; R$ 18,34 ; R$ 36,68 ;07/05/2020;2; R$ 18,54 ; R$ 37,08 ; R$ 0,40 ;1,09%
PETR3F;06/05/2020;2; R$ 18,28 ; R$ 36,56 ;08/05/2020;2; R$ 18,85 ; R$ 37,70 ; R$ 1,14 ;3,12%
ABEV3F;07/05/2020;2; R$ 11,72 ; R$ 23,44 ;08/05/2020;2; R$ 11,92 ; R$ 23,84 ; R$ 0,40 ;1,71%
ABEV3F;07/05/2020;2; R$ 11,53 ; R$ 23,06 ;08/05/2020;2; R$ 11,92 ; R$ 23,84 ; R$ 0,78 ;3,38%
MGLU3F;07/05/2020;1; R$ 53,85 ; R$ 53,85 ;07/05/2020;1; R$ 56,26 ; R$ 56,26 ; R$ 2,41 ;4,48%
PETR3F;07/05/2020;2; R$ 18,22 ; R$ 36,44 ;08/05/2020;2; R$ 18,85 ; R$ 37,70 ; R$ 1,26 ;3,46%
ABEV3F;08/05/2020;2; R$ 11,80 ; R$ 23,60 ;08/05/2020;2; R$ 12,03 ; R$ 24,06 ; R$ 0,46 ;1,95%
ABEV3F;08/05/2020;2; R$ 11,92 ; R$ 23,84 ;08/05/2020;2; R$ 12,03 ; R$ 24,06 ; R$ 0,22 ;0,92%
MGLU3F;08/05/2020;1; R$ 55,70 ; R$ 55,70 ;12/05/2020;1; R$ 56,39 ; R$ 56,39 ; R$ 0,69 ;1,24%
PETR3F;08/05/2020;2; R$ 18,89 ; R$ 37,78 ;08/05/2020;2; R$ 19,43 ; R$ 38,86 ; R$ 1,08 ;2,86%
ABEV3F;11/05/2020;2; R$ 12,21 ; R$ 24,42 ;18/05/2020;2; R$ 12,18 ; R$ 24,36 ;-R$ 0,06 ;-0,25%
MGLU3F;11/05/2020;1; R$ 55,49 ; R$ 55,49 ;12/05/2020;1; R$ 56,39 ; R$ 56,39 ; R$ 0,90 ;1,62%
ELET3F;12/05/2020;2; R$ 22,74 ; R$ 45,48 ;15/05/2020;2; R$ 22,90 ; R$ 45,80 ; R$ 0,32 ;0,70%
ELET3F;12/05/2020;2; R$ 22,30 ; R$ 44,60 ;15/05/2020;2; R$ 22,90 ; R$ 45,80 ; R$ 1,20 ;2,69%
ELET3F;12/05/2020;2; R$ 21,94 ; R$ 43,88 ;15/05/2020;2; R$ 22,90 ; R$ 45,80 ; R$ 1,92 ;4,38%
MGLU3F;12/05/2020;1; R$ 54,99 ; R$ 54,99 ;18/05/2020;1; R$ 56,24 ; R$ 56,24 ; R$ 1,25 ;2,27%
ABEV3F;13/05/2020;3; R$ 11,65 ; R$ 34,95 ;18/05/2020;3; R$ 12,18 ; R$ 36,54 ; R$ 1,59 ;4,55%
ELET3F;15/05/2020;2; R$ 22,97 ; R$ 45,94 ;18/05/2020;2; R$ 23,27 ; R$ 46,54 ; R$ 0,60 ;1,31%
ABEV3F;18/05/2020;2; R$ 11,96 ; R$ 23,92 ;18/05/2020;2; R$ 12,34 ; R$ 24,68 ; R$ 0,76 ;3,18%
ABEV3F;18/05/2020;2; R$ 12,39 ; R$ 24,78 ;18/05/2020;2; R$ 12,34 ; R$ 24,68 ;-R$ 0,10 ;-0,40%
KLBN11F;18/05/2020;2; R$ 20,68 ; R$ 41,36 ;19/05/2021;2; R$ 20,49 ; R$ 40,98 ;-R$ 0,38 ;-0,92%
KLBN11F;18/05/2020;2; R$ 20,15 ; R$ 40,30 ;19/05/2020;2; R$ 20,49 ; R$ 40,98 ; R$ 0,68 ;1,69%
KLBN11F;18/05/2020;2; R$ 19,99 ; R$ 39,98 ;19/05/2020;2; R$ 20,55 ; R$ 41,10 ; R$ 1,12 ;2,80%
MGLU3F;18/05/2020;1; R$ 55,94 ; R$ 55,94 ;19/05/2020;1; R$ 56,83 ; R$ 56,83 ; R$ 0,89 ;1,59%
MGLU3F;18/05/2020;1; R$ 55,61 ; R$ 55,61 ;19/05/2020;1; R$ 56,83 ; R$ 56,83 ; R$ 1,22 ;2,19%
ABEV3F;19/05/2020;1; R$ 12,14 ; R$ 12,14 ;20/05/2020;1; R$ 12,13 ; R$ 12,13 ;-R$ 0,01 ;-0,08%
AZUL4F;19/05/2020;2; R$ 13,76 ; R$ 27,52 ;19/05/2020;2; R$ 14,37 ; R$ 28,74 ; R$ 1,22 ;4,43%
AZUL4F;19/05/2020;1; R$ 14,42 ; R$ 14,42 ;20/05/2020;1; R$ 14,50 ; R$ 14,50 ; R$ 0,08 ;0,55%
AZUL4F;19/05/2020;2; R$ 13,71 ; R$ 27,42 ;20/05/2020;2; R$ 14,50 ; R$ 29,00 ; R$ 1,58 ;5,76%
ELET3F;19/05/2020;1; R$ 24,18 ; R$ 24,18 ;20/05/2020;1; R$ 24,41 ; R$ 24,41 ; R$ 0,23 ;0,95%
ELET3F;19/05/2020;2; R$ 23,84 ; R$ 47,68 ;20/05/2020;2; R$ 24,41 ; R$ 48,82 ; R$ 1,14 ;2,39%
ELET3F;19/05/2020;2; R$ 23,86 ; R$ 47,72 ;20/05/2020;2; R$ 24,41 ; R$ 48,82 ; R$ 1,10 ;2,31%
KLBN11F;19/05/2020;2; R$ 20,05 ; R$ 40,10 ;20/05/2020;2; R$ 20,42 ; R$ 40,84 ; R$ 0,74 ;1,85%
KLBN11F;19/05/2020;2; R$ 20,07 ; R$ 40,14 ;20/05/2020;2; R$ 20,42 ; R$ 40,84 ; R$ 0,70 ;1,74%
ABEV3F;20/05/2020;2; R$ 11,96 ; R$ 23,92 ;20/05/2020;2; R$ 12,13 ; R$ 24,26 ; R$ 0,34 ;1,42%
ELET3F;20/05/2020;1; R$ 24,29 ; R$ 24,29 ;22/05/2020;1; R$ 24,13 ; R$ 24,13 ;-R$ 0,16 ;-0,66%
ELET3F;20/05/2020;2; R$ 23,73 ; R$ 47,46 ;22/05/2020;2; R$ 24,13 ; R$ 48,26 ; R$ 0,80 ;1,69%
ELET3F;20/05/2020;2; R$ 23,63 ; R$ 47,26 ;22/05/2020;2; R$ 24,13 ; R$ 48,26 ; R$ 1,00 ;2,12%
KLBN11F;20/05/2020;2; R$ 20,18 ; R$ 40,36 ;01/06/2020;2; R$ 20,20 ; R$ 40,40 ; R$ 0,04 ;0,10%
KLBN11F;20/05/2020;1; R$ 19,55 ; R$ 19,55 ;01/06/2020;1; R$ 20,20 ; R$ 20,20 ; R$ 0,65 ;3,32%
MGLU3F;20/05/2020;1; R$ 57,48 ; R$ 57,48 ;21/05/2020;1; R$ 58,54 ; R$ 58,54 ; R$ 1,06 ;1,84%
PETR3F;20/05/2020;1; R$ 20,16 ; R$ 20,16 ;25/05/2020;1; R$ 20,38 ; R$ 20,38 ; R$ 0,22 ;1,09%
ABEV3F;21/05/2020;4; R$ 11,86 ; R$ 47,44 ;25/05/2020;4; R$ 12,12 ; R$ 48,48 ; R$ 1,04 ;2,19%
ABEV3F;21/05/2020;1; R$ 11,82 ; R$ 11,82 ;25/05/2020;1; R$ 12,12 ; R$ 12,12 ; R$ 0,30 ;2,54%
AZUL4F;21/05/2020;2; R$ 16,17 ; R$ 32,34 ;02/06/2020;2; R$ 16,25 ; R$ 32,50 ; R$ 0,16 ;0,49%
AZUL4F;21/05/2020;2; R$ 15,57 ; R$ 31,14 ;02/06/2020;2; R$ 16,25 ; R$ 32,50 ; R$ 1,36 ;4,37%
ELET3F;21/05/2020;2; R$ 23,35 ; R$ 46,70 ;22/05/2020;2; R$ 24,13 ; R$ 48,26 ; R$ 1,56 ;3,34%
EMBR3F;21/05/2020;1; R$ 6,52 ; R$ 6,52 ;25/05/2020;1; R$ 6,92 ; R$ 6,92 ; R$ 0,40 ;6,13%
KLBN11F;21/05/2020;2; R$ 19,51 ; R$ 39,02 ;01/06/2020;2; R$ 20,20 ; R$ 40,40 ; R$ 1,38 ;3,54%
KLBN11F;21/05/2020;2; R$ 19,15 ; R$ 38,30 ;01/06/2020;2; R$ 20,20 ; R$ 40,40 ; R$ 2,10 ;5,48%
MGLU3F;21/05/2020;2; R$ 57,75 ; R$ 115,50 ;21/05/2020;2; R$ 58,54 ; R$ 117,08 ; R$ 1,58 ;1,37%
PETR3F;21/05/2020;2; R$ 19,92 ; R$ 39,84 ;25/05/2020;2; R$ 20,38 ; R$ 40,76 ; R$ 0,92 ;2,31%
PETR4F;21/05/2020;2; R$ 19,56 ; R$ 39,12 ;25/05/2020;2; R$ 19,54 ; R$ 39,08 ;-R$ 0,04 ;-0,10%
PETR4F;21/05/2020;2; R$ 19,30 ; R$ 38,60 ;25/05/2020;2; R$ 19,54 ; R$ 39,08 ; R$ 0,48 ;1,24%
AZUL4F;22/05/2020;6; R$ 14,84 ; R$ 89,04 ;02/06/2020;6; R$ 16,25 ; R$ 97,50 ; R$ 8,46 ;9,50%
PETR3F;22/05/2020;2; R$ 19,53 ; R$ 39,06 ;25/05/2020;2; R$ 20,38 ; R$ 40,76 ; R$ 1,70 ;4,35%
PETR4F;22/05/2020;2; R$ 18,61 ; R$ 37,22 ;25/05/2020;2; R$ 19,54 ; R$ 39,08 ; R$ 1,86 ;5,00%
AZUL4F;25/05/2020;8; R$ 14,78 ; R$ 118,24 ;02/06/2020;8; R$ 16,50 ; R$ 132,00 ; R$ 13,76 ;11,64%
AZUL4F;25/05/2020;2; R$ 15,32 ; R$ 30,64 ;02/06/2020;2; R$ 16,50 ; R$ 33,00 ; R$ 2,36 ;7,70%
KLBN11F;25/05/2020;4; R$ 18,87 ; R$ 75,48 ;01/06/2020;4; R$ 20,20 ; R$ 80,80 ; R$ 5,32 ;7,05%
SUZB3F;25/05/2020;2; R$ 37,84 ; R$ 75,68 ;27/05/2020;2; R$ 38,64 ; R$ 77,28 ; R$ 1,60 ;2,11%
SUZB3F;25/05/2020;4; R$ 37,87 ; R$ 151,48 ;27/05/2020;4; R$ 38,64 ; R$ 154,56 ; R$ 3,08 ;2,03%
SUZB3F;25/05/2020;1; R$ 37,86 ; R$ 37,86 ;27/05/2020;1; R$ 38,64 ; R$ 38,64 ; R$ 0,78 ;2,06%
SUZB3F;25/05/2020;3; R$ 37,86 ; R$ 113,58 ;27/05/2020;3; R$ 38,83 ; R$ 116,49 ; R$ 2,91 ;2,56%
EMBR3F;26/05/2020;2; R$ 6,93 ; R$ 13,86 ;27/05/2020;2; R$ 7,02 ; R$ 14,04 ; R$ 0,18 ;1,30%
EMBR3F;26/05/2020;10; R$ 6,68 ; R$ 66,80 ;27/05/2020;10; R$ 7,02 ; R$ 70,20 ; R$ 3,40 ;5,09%
SUZB3F;26/05/2020;4; R$ 37,10 ; R$ 148,40 ;27/05/2020;4; R$ 38,83 ; R$ 155,32 ; R$ 6,92 ;4,66%
AZUL4F;27/05/2020;4; R$ 14,64 ; R$ 58,56 ;02/06/2020;4; R$ 16,50 ; R$ 66,00 ; R$ 7,44 ;12,70%
AZUL4F;27/05/2020;4; R$ 14,39 ; R$ 57,56 ;02/06/2020;4; R$ 16,50 ; R$ 66,00 ; R$ 8,44 ;14,66%
AZUL4F;27/05/2020;4; R$ 14,55 ; R$ 58,20 ;02/06/2020;4; R$ 16,50 ; R$ 66,00 ; R$ 7,80 ;13,40%
ELET3F;27/05/2020;1; R$ 28,90 ; R$ 28,90 ;01/06/2020;1; R$ 29,20 ; R$ 29,20 ; R$ 0,30 ;1,04%
ELET3F;27/05/2020;2; R$ 28,77 ; R$ 57,54 ;01/06/2020;2; R$ 29,20 ; R$ 58,40 ; R$ 0,86 ;1,49%
EMBR3F;27/05/2020;2; R$ 7,09 ; R$ 14,18 ;27/05/2020;2; R$ 7,24 ; R$ 14,48 ; R$ 0,30 ;2,12%
MGLU3F;27/05/2020;1; R$ 67,17 ; R$ 67,17 ;17/06/2020;1; R$ 67,20 ; R$ 67,20 ; R$ 0,03 ;0,04%
PETR3F;27/05/2020;2; R$ 20,34 ; R$ 40,68 ;28/05/2021;2; R$ 20,79 ; R$ 41,58 ; R$ 0,90 ;2,21%
PETR4F;27/05/2020;2; R$ 19,52 ; R$ 39,04 ;29/05/2020;2; R$ 19,89 ; R$ 39,78 ; R$ 0,74 ;1,90%
SBSP3F;27/05/2020;2; R$ 51,98 ; R$ 103,96 ;27/05/2020;2; R$ 53,50 ; R$ 107,00 ; R$ 3,04 ;2,92%
SBSP3F;27/05/2020;1; R$ 53,02 ; R$ 53,02 ;28/05/2020;1; R$ 53,50 ; R$ 53,50 ; R$ 0,48 ;0,91%
ABEV3F;28/05/2020;1; R$ 13,31 ; R$ 13,31 ;02/06/2020;1; R$ 13,20 ; R$ 13,20 ;-R$ 0,11 ;-0,83%
ABEV3F;28/05/2020;2; R$ 13,10 ; R$ 26,20 ;02/06/2020;2; R$ 13,20 ; R$ 26,40 ; R$ 0,20 ;0,76%
EMBR3F;28/05/2020;5; R$ 7,08 ; R$ 35,40 ;29/05/2020;5; R$ 7,80 ; R$ 39,00 ; R$ 3,60 ;10,17%
JBSS3F;28/05/2020;1; R$ 21,84 ; R$ 21,84 ;29/05/2020;1; R$ 22,00 ; R$ 22,00 ; R$ 0,16 ;0,73%
MGLU3F;28/05/2020;1; R$ 65,15 ; R$ 65,15 ;17/06/2021;1; R$ 67,20 ; R$ 67,20 ; R$ 2,05 ;3,15%
SBSP3F;28/05/2020;1; R$ 51,94 ; R$ 51,94 ;28/05/2020;1; R$ 53,50 ; R$ 53,50 ; R$ 1,56 ;3,00%
SUZB3F;28/05/2020;2; R$ 38,91 ; R$ 77,82 ;17/06/2020;2; R$ 38,85 ; R$ 77,70 ;-R$ 0,12 ;-0,15%
ABEV3F;29/05/2020;3; R$ 12,30 ; R$ 36,90 ;02/06/2020;3; R$ 13,20 ; R$ 39,60 ; R$ 2,70 ;7,32%
ELET3F;29/05/2020;2; R$ 27,90 ; R$ 55,80 ;01/06/2020;2; R$ 29,20 ; R$ 58,40 ; R$ 2,60 ;4,66%
EMBR3F;29/05/2020;2; R$ 6,94 ; R$ 13,88 ;29/05/2020;2; R$ 7,80 ; R$ 15,60 ; R$ 1,72 ;12,39%
EMBR3F;29/05/2020;2; R$ 7,58 ; R$ 15,16 ;29/05/2020;2; R$ 7,47 ; R$ 14,94 ;-R$ 0,22 ;-1,45%
EMBR3F;29/05/2020;2; R$ 7,36 ; R$ 14,72 ;29/05/2020;2; R$ 7,47 ; R$ 14,94 ; R$ 0,22 ;1,49%
EMBR3F;29/05/2020;2; R$ 7,36 ; R$ 14,72 ;02/06/2020;2; R$ 8,10 ; R$ 16,20 ; R$ 1,48 ;10,05%
EMBR3F;29/05/2020;4; R$ 7,48 ; R$ 29,92 ;02/06/2020;4; R$ 8,10 ; R$ 32,40 ; R$ 2,48 ;8,29%
EMBR3F;29/05/2020;6; R$ 7,48 ; R$ 44,88 ;02/06/2020;6; R$ 8,10 ; R$ 48,60 ; R$ 3,72 ;8,29%
MGLU3F;29/05/2020;2; R$ 64,32 ; R$ 128,64 ;17/06/2020;2; R$ 67,20 ; R$ 134,40 ; R$ 5,76 ;4,48%
SBSP3F;29/05/2020;2; R$ 51,80 ; R$ 103,60 ;29/05/2020;2; R$ 53,00 ; R$ 106,00 ; R$ 2,40 ;2,32%
SUZB3F;29/05/2020;2; R$ 37,61 ; R$ 75,22 ;17/06/2020;2; R$ 38,85 ; R$ 77,70 ; R$ 2,48 ;3,30%
EMBR3F;01/06/2020;5; R$ 7,25 ; R$ 36,25 ;02/06/2020;5; R$ 8,10 ; R$ 40,50 ; R$ 4,25 ;11,72%
MGLU3F;01/06/2020;1; R$ 64,20 ; R$ 64,20 ;17/06/2020;1; R$ 67,20 ; R$ 67,20 ; R$ 3,00 ;4,67%
COGN3F;02/06/2020;2; R$ 6,23 ; R$ 12,46 ;04/06/2020;2; R$ 6,79 ; R$ 13,58 ; R$ 1,12 ;8,99%
MGLU3F;02/06/2020;1; R$ 63,75 ; R$ 63,75 ;17/06/2020;1; R$ 67,20 ; R$ 67,20 ; R$ 3,45 ;5,41%
MGLU3F;02/06/2020;1; R$ 63,44 ; R$ 63,44 ;17/06/2020;1; R$ 67,20 ; R$ 67,20 ; R$ 3,76 ;5,93%
SBSP3F;02/06/2020;2; R$ 54,21 ; R$ 108,42 ;17/06/2021;2; R$ 56,10 ; R$ 112,20 ; R$ 3,78 ;3,49%
SBSP3F;03/06/2020;2; R$ 54,90 ; R$ 109,80 ;17/06/2021;2; R$ 56,10 ; R$ 112,20 ; R$ 2,40 ;2,19%
SUZB3F;03/06/2020;2; R$ 37,92 ; R$ 75,84 ;17/06/2020;2; R$ 38,85 ; R$ 77,70 ; R$ 1,86 ;2,45%
TPIS3F;03/06/2020;10; R$ 1,20 ; R$ 12,00 ;08/06/2020;10; R$ 1,25 ; R$ 12,50 ; R$ 0,50 ;4,17%
AZUL4F;04/06/2020;1; R$ 18,79 ; R$ 18,79 ;08/06/2020;1; R$ 25,50 ; R$ 25,50 ; R$ 6,71 ;35,71%
AZUL4F;04/06/2020;1; R$ 18,79 ; R$ 18,79 ;08/06/2020;1; R$ 26,25 ; R$ 26,25 ; R$ 7,46 ;39,70%
GOLL4F;04/06/2020;2; R$ 17,21 ; R$ 34,42 ;08/06/2020;2; R$ 21,40 ; R$ 42,80 ; R$ 8,38 ;24,35%
GOLL4F;04/06/2020;1; R$ 17,18 ; R$ 17,18 ;08/06/2020;1; R$ 21,40 ; R$ 21,40 ; R$ 4,22 ;24,56%
GOLL4F;04/06/2020;2; R$ 16,95 ; R$ 33,90 ;08/06/2020;2; R$ 23,05 ; R$ 46,10 ; R$ 12,20 ;35,99%
GOLL4F;04/06/2020;1; R$ 17,18 ; R$ 17,18 ;08/06/2020;1; R$ 23,17 ; R$ 23,17 ; R$ 5,99 ;34,87%
MGLU3F;04/06/2020;1; R$ 61,88 ; R$ 61,88 ;17/06/2020;1; R$ 67,20 ; R$ 67,20 ; R$ 5,32 ;8,60%
SBSP3F;04/06/2020;; R$ 53,81 ; R$ -   ;;2;; R$ -   ; R$ -   ;0,00%
SBSP3F;04/06/2020;; R$ 53,52 ; R$ -   ;;2;; R$ -   ; R$ -   ;0,00%
SBSP3F;05/06/2020;2; R$ 53,20 ; R$ 106,40 ;17/06/2021;2; R$ 56,10 ; R$ 112,20 ; R$ 5,80 ;5,45%
ELET3F;08/06/2020;2; R$ 30,05 ; R$ 60,10 ;17/06/2020;2; R$ 31,81 ; R$ 63,62 ; R$ 3,52 ;5,86%
SUZB3F;08/06/2020;2; R$ 38,05 ; R$ 76,10 ;17/06/2020;2; R$ 38,85 ; R$ 77,70 ; R$ 1,60 ;2,10%
SUZB3F;08/06/2020;2; R$ 37,70 ; R$ 75,40 ;17/06/2020;2; R$ 38,85 ; R$ 77,70 ; R$ 2,30 ;3,05%
ELET3F;09/06/2020;2; R$ 30,28 ; R$ 60,56 ;17/06/2020;2; R$ 32,05 ; R$ 64,10 ; R$ 3,54 ;5,85%
EMBR3F;09/06/2020;2; R$ 10,19 ; R$ 20,38 ;03/12/2020;2; R$ 8,80 ; R$ 17,60 ;-R$ 2,78 ;-13,64%
GOLL4F;09/06/2020;2; R$ 22,70 ; R$ 45,40 ;10/07/2020;2; R$ 20,65 ; R$ 41,30 ;-R$ 4,10 ;-9,03%
AZUL4F;10/06/2020;2; R$ 26,32 ; R$ 52,64 ;12/08/2020;2; R$ 24,40 ; R$ 48,80 ;-R$ 3,84 ;-7,29%
