Compra;;;;;Venda;;;;;
EMBR3F;10/06/2020;1; R$ 9,52 ; R$ 9,52 ;03/12/2020;1; R$ 8,80 ; R$ 8,80 ;-R$ 0,72 ;-7,56%
GOLL4F;10/06/2020;2; R$ 23,80 ; R$ 47,60 ;10/07/2020;2; R$ 20,65 ; R$ 41,30 ;-R$ 6,30 ;-13,24%
AMAR3F;12/06/2020;5; R$ 8,50 ; R$ 42,50 ;07/07/2020;5; R$ 9,05 ; R$ 45,25 ; R$ 2,75 ;6,47%
AZUL4F;12/06/2020;2; R$ 21,50 ; R$ 43,00 ;12/08/2020;2; R$ 24,40 ; R$ 48,80 ; R$ 5,80 ;13,49%
EMBR3F;12/06/2020;5; R$ 8,55 ; R$ 42,75 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 1,25 ;2,92%
GOLL4F;12/06/2020;5; R$ 18,23 ; R$ 91,15 ;15/07/2020;5; R$ 21,97 ; R$ 109,85 ; R$ 18,70 ;20,52%
AMAR3F;17/06/2020;5; R$ 8,54 ; R$ 42,70 ;10/07/2020;5; R$ 8,96 ; R$ 44,80 ; R$ 2,10 ;4,92%
AZUL4F;17/06/2020;5; R$ 22,99 ; R$ 114,95 ;12/08/2020;5; R$ 24,40 ; R$ 122,00 ; R$ 7,05 ;6,13%
EMBR3F;17/06/2020;5; R$ 8,82 ; R$ 44,10 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ;-R$ 0,10 ;-0,23%
GOLL4F;17/06/2020;5; R$ 18,73 ; R$ 93,65 ;15/07/2020;5; R$ 21,97 ; R$ 109,85 ; R$ 16,20 ;17,30%
ABEV3F;18/06/2020;3; R$ 13,78 ; R$ 41,34 ;01/07/2020;3; R$ 14,06 ; R$ 42,18 ; R$ 0,84 ;2,03%
ELET3F;18/06/2020;1; R$ 30,15 ; R$ 30,15 ;30/06/2020;1; R$ 31,45 ; R$ 31,45 ; R$ 1,30 ;4,31%
ELET3F;18/06/2020;4; R$ 30,15 ; R$ 120,60 ;30/06/2020;4; R$ 31,50 ; R$ 126,00 ; R$ 5,40 ;4,48%
ELET3F;19/06/2020;5; R$ 30,25 ; R$ 151,25 ;30/06/2020;5; R$ 31,45 ; R$ 157,25 ; R$ 6,00 ;3,97%
AZUL4F;22/06/2020;5; R$ 21,15 ; R$ 105,75 ;12/08/2020;5; R$ 24,40 ; R$ 122,00 ; R$ 16,25 ;15,37%
EMBR3F;22/06/2020;5; R$ 8,45 ; R$ 42,25 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 1,75 ;4,14%
GOLL4F;22/06/2020;5; R$ 18,57 ; R$ 92,85 ;04/09/2020;5; R$ 19,80 ; R$ 99,00 ; R$ 6,15 ;6,62%
AZUL4F;23/06/2020;5; R$ 21,08 ; R$ 105,40 ;12/08/2020;5; R$ 24,50 ; R$ 122,50 ; R$ 17,10 ;16,22%
EMBR3F;23/06/2020;5; R$ 8,58 ; R$ 42,90 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 1,10 ;2,56%
GOLL4F;23/06/2020;5; R$ 18,57 ; R$ 92,85 ;04/09/2020;5; R$ 19,80 ; R$ 99,00 ; R$ 6,15 ;6,62%
ABEV3F;24/06/2020;5; R$ 13,58 ; R$ 67,90 ;01/07/2020;5; R$ 14,06 ; R$ 70,30 ; R$ 2,40 ;3,53%
AZUL4F;25/06/2020;5; R$ 21,03 ; R$ 105,15 ;12/08/2020;5; R$ 24,50 ; R$ 122,50 ; R$ 17,35 ;16,50%
ELET3F;25/06/2020;2; R$ 30,00 ; R$ 60,00 ;30/06/2020;2; R$ 31,50 ; R$ 63,00 ; R$ 3,00 ;5,00%
EMBR3F;25/06/2020;5; R$ 8,11 ; R$ 40,55 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 3,45 ;8,51%
ABEV3F;01/07/2020;8; R$ 14,54 ; R$ 116,32 ;01/07/2020;8; R$ 14,51 ; R$ 116,08 ;-R$ 0,24 ;-0,21%
EMBR3F;01/07/2020;3; R$ 8,11 ; R$ 24,33 ;03/12/2020;3; R$ 8,80 ; R$ 26,40 ; R$ 2,07 ;8,51%
EMBR3F;09/07/2020;4; R$ 8,10 ; R$ 32,40 ;03/12/2020;4; R$ 8,80 ; R$ 35,20 ; R$ 2,80 ;8,64%
ELET3F;10/07/2020;1; R$ 35,88 ; R$ 35,88 ;27/07/2020;1; R$ 39,10 ; R$ 39,10 ; R$ 3,22 ;8,97%
ETER3F;10/07/2020;5; R$ 4,24 ; R$ 21,20 ;16/07/2021;5; R$ 4,48 ; R$ 22,40 ; R$ 1,20 ;5,66%
ELET3F;13/07/2020;2; R$ 35,83 ; R$ 71,66 ;27/07/2020;2; R$ 39,10 ; R$ 78,20 ; R$ 6,54 ;9,13%
ELET3F;13/07/2020;2; R$ 35,67 ; R$ 71,34 ;27/07/2020;2; R$ 39,10 ; R$ 78,20 ; R$ 6,86 ;9,62%
EMBR3F;13/07/2020;5; R$ 8,09 ; R$ 40,45 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 3,55 ;8,78%
ETER3F;13/07/2020;5; R$ 4,16 ; R$ 20,80 ;16/07/2021;5; R$ 4,48 ; R$ 22,40 ; R$ 1,60 ;7,69%
ETER3F;13/07/2020;5; R$ 4,02 ; R$ 20,10 ;16/07/2021;5; R$ 4,48 ; R$ 22,40 ; R$ 2,30 ;11,44%
ABEV3F;14/07/2020;4; R$ 13,87 ; R$ 55,48 ;22/07/2020;4; R$ 15,00 ; R$ 60,00 ; R$ 4,52 ;8,15%
COGN3F;14/07/2020;2; R$ 8,89 ; R$ 17,78 ;16/07/2020;2; R$ 9,10 ; R$ 18,20 ; R$ 0,42 ;2,36%
ETER3F;14/07/2020;5; R$ 3,95 ; R$ 19,75 ;19/07/2021;5; R$ 4,48 ; R$ 22,40 ; R$ 2,65 ;13,42%
COGN3F;15/07/2020;20; R$ 8,66 ; R$ 173,20 ;16/07/2020;20; R$ 9,10 ; R$ 182,00 ; R$ 8,80 ;5,08%
ELET3F;16/07/2020;2; R$ 35,24 ; R$ 70,48 ;27/07/2020;2; R$ 39,10 ; R$ 78,20 ; R$ 7,72 ;10,95%
LUPA3F;16/07/2020;10; R$ 2,57 ; R$ 25,70 ;30/07/2020;10; R$ 2,43 ; R$ 24,30 ;-R$ 1,40 ;-5,45%
LUPA3F;20/07/2020;99; R$ 2,56 ; R$ 253,44 ;24/08/2020;99; R$ 2,33 ; R$ 230,67 ;-R$ 22,77 ;-8,98%
ETER3F;21/07/2020;10; R$ 5,50 ; R$ 55,00 ;08/09/2020;10; R$ 5,30 ; R$ 53,00 ;-R$ 2,00 ;-3,64%
COGN3F;23/07/2020;5; R$ 8,80 ; R$ 44,00 ;28/07/2020;5; R$ 9,06 ; R$ 45,30 ; R$ 1,30 ;2,95%
LUPA3F;23/07/2020;45; R$ 2,42 ; R$ 108,90 ;03/09/2020;45; R$ 2,15 ; R$ 96,75 ;-R$ 12,15 ;-11,16%
LUPA3F;23/07/2020;5; R$ 2,42 ; R$ 12,10 ;14/12/2020;5; R$ 2,60 ; R$ 13,00 ; R$ 0,90 ;7,44%
AMAR3F;27/07/2020;10; R$ 8,14 ; R$ 81,40 ;25/08/2020;10; R$ 8,25 ; R$ 82,50 ; R$ 1,10 ;1,35%
COGN3F;27/07/2020;2; R$ 8,11 ; R$ 16,22 ;28/07/2020;2; R$ 9,06 ; R$ 18,12 ; R$ 1,90 ;11,71%
ETER3F;27/07/2020;10; R$ 5,24 ; R$ 52,40 ;08/09/2020;10; R$ 5,30 ; R$ 53,00 ; R$ 0,60 ;1,15%
LUPA3F;27/07/2020;50; R$ 2,24 ; R$ 112,00 ;14/12/2020;50; R$ 2,60 ; R$ 130,00 ; R$ 18,00 ;16,07%
AMAR3F;28/07/2020;10; R$ 7,82 ; R$ 78,20 ;25/08/2020;10; R$ 8,25 ; R$ 82,50 ; R$ 4,30 ;5,50%
COGN3F;28/07/2020;7; R$ 9,01 ; R$ 63,07 ;28/07/2020;7; R$ 9,06 ; R$ 63,42 ; R$ 0,35 ;0,55%
ETER3F;28/07/2020;5; R$ 5,19 ; R$ 25,95 ;08/09/2020;5; R$ 5,30 ; R$ 26,50 ; R$ 0,55 ;2,12%
VVAR3F;28/07/2020;5; R$ 19,00 ; R$ 95,00 ;21/08/2020;5; R$ 20,00 ; R$ 100,00 ; R$ 5,00 ;5,26%
ABEV3F;03/08/2020;5; R$ 13,91 ; R$ 69,55 ;17/09/2020;5; R$ 13,12 ; R$ 65,60 ;-R$ 3,95 ;-5,68%
COGN3F;03/08/2020;15; R$ 7,75 ; R$ 116,25 ;;15; R$ -   ; R$ -   ; R$ -   ;0,00%
ETER3F;03/08/2020;10; R$ 4,95 ; R$ 49,50 ;08/09/2020;10; R$ 5,30 ; R$ 53,00 ; R$ 3,50 ;7,07%
ETER3F;04/08/2020;2; R$ 4,70 ; R$ 9,40 ;08/09/2020;2; R$ 5,30 ; R$ 10,60 ; R$ 1,20 ;12,77%
ABEV3F;12/08/2020;5; R$ 13,37 ; R$ 66,85 ;17/09/2020;5; R$ 13,12 ; R$ 65,60 ;-R$ 1,25 ;-1,87%
COGN3F;12/08/2020;15; R$ 7,24 ; R$ 108,60 ;;15; R$ -   ; R$ -   ; R$ -   ;0,00%
ELET3F;12/08/2020;2; R$ 35,60 ; R$ 71,20 ;21/08/2020;2; R$ 34,40 ; R$ 68,80 ;-R$ 2,40 ;-3,37%
COGN3F;13/08/2020;15; R$ 7,08 ; R$ 106,20 ;;15; R$ -   ; R$ -   ; R$ -   ;0,00%
ELET3F;13/08/2020;2; R$ 34,24 ; R$ 68,48 ;21/08/2020;2; R$ 34,40 ; R$ 68,80 ; R$ 0,32 ;0,47%
ELET3F;14/08/2020;2; R$ 33,50 ; R$ 67,00 ;21/08/2020;2; R$ 34,40 ; R$ 68,80 ; R$ 1,80 ;2,69%
ELET3F;17/08/2020;3; R$ 31,60 ; R$ 94,80 ;21/08/2020;3; R$ 34,40 ; R$ 103,20 ; R$ 8,40 ;8,86%
BBSE3F;19/08/2020;10; R$ 26,66 ; R$ 266,60 ;28/08/2020;10; R$ 27,47 ; R$ 274,70 ; R$ 8,10 ;3,04%
COGN3F;19/08/2020;15; R$ 6,87 ; R$ 103,05 ;;15; R$ -   ; R$ -   ; R$ -   ;0,00%
GOLL4F;19/08/2020;10; R$ 18,57 ; R$ 185,70 ;04/09/2020;10; R$ 19,80 ; R$ 198,00 ; R$ 12,30 ;6,62%
TAEE11F;19/08/2020;4; R$ 28,30 ; R$ 113,20 ;08/09/2020;4; R$ 28,85 ; R$ 115,40 ; R$ 2,20 ;1,94%
TAEE4F;19/08/2020;6; R$ 9,50 ; R$ 57,00 ;05/11/2020;6; R$ 9,95 ; R$ 59,70 ; R$ 2,70 ;4,74%
TIET11F;19/08/2020;20; R$ 14,67 ; R$ 293,40 ;25/08/2020;20; R$ 15,20 ; R$ 304,00 ; R$ 10,60 ;3,61%
BBSE3F;20/08/2020;10; R$ 26,31 ; R$ 263,10 ;28/08/2020;10; R$ 27,55 ; R$ 275,50 ; R$ 12,40 ;4,71%
ABEV3F;21/08/2020;10; R$ 12,77 ; R$ 127,70 ;17/09/2020;10; R$ 13,12 ; R$ 131,20 ; R$ 3,50 ;2,74%
SPRI3F;21/08/2020;10; R$ 11,30 ; R$ 113,00 ;;10; R$ 10,51 ; R$ 105,10 ;-R$ 7,90 ;-6,99%
TAEE11F;24/08/2020;10; R$ 28,23 ; R$ 282,30 ;08/09/2020;10; R$ 28,85 ; R$ 288,50 ; R$ 6,20 ;2,20%
COGN3F;25/08/2020;20; R$ 6,34 ; R$ 126,80 ;;20; R$ -   ; R$ -   ; R$ -   ;0,00%
COGN3F;25/08/2020;20; R$ 6,19 ; R$ 123,80 ;;20; R$ -   ; R$ -   ; R$ -   ;0,00%
COGN3F;26/08/2020;20; R$ 6,00 ; R$ 120,00 ;;20; R$ -   ; R$ -   ; R$ -   ;0,00%
BBSE3F;31/08/2020;2; R$ 26,90 ; R$ 53,80 ;03/09/2020;2; R$ 27,80 ; R$ 55,60 ; R$ 1,80 ;3,35%
COGN3F;31/08/2020;20; R$ 5,92 ; R$ 118,40 ;;20; R$ -   ; R$ -   ; R$ -   ;0,00%
EMBR3F;31/08/2020;20; R$ 7,40 ; R$ 148,00 ;03/12/2020;20; R$ 8,80 ; R$ 176,00 ; R$ 28,00 ;18,92%
TAEE4F;31/08/2020;20; R$ 9,49 ; R$ 189,80 ;05/11/2020;20; R$ 9,95 ; R$ 199,00 ; R$ 9,20 ;4,85%
BBSE3F;04/09/2020;5; R$ 26,80 ; R$ 134,00 ;09/11/2020;5; R$ 26,75 ; R$ 133,75 ;-R$ 0,25 ;-0,19%
VVAR3F;04/09/2020;7; R$ 18,80 ; R$ 131,60 ;09/10/2020;7; R$ 18,90 ; R$ 132,30 ; R$ 0,70 ;0,53%
ABEV3F;08/09/2020;20; R$ 12,37 ; R$ 247,40 ;17/09/2020;20; R$ 13,12 ; R$ 262,40 ; R$ 15,00 ;6,06%
BBSE3F;08/09/2020;5; R$ 26,75 ; R$ 133,75 ;09/11/2020;5; R$ 26,75 ; R$ 133,75 ; R$ -   ;0,00%
BBSE3F;08/09/2020;5; R$ 26,55 ; R$ 132,75 ;09/11/2020;5; R$ 26,75 ; R$ 133,75 ; R$ 1,00 ;0,75%
VVAR3F;08/09/2020;10; R$ 18,19 ; R$ 181,90 ;09/10/2020;10; R$ 18,90 ; R$ 189,00 ; R$ 7,10 ;3,90%
BBSE3F;10/09/2020;2; R$ 26,35 ; R$ 52,70 ;09/11/2020;2; R$ 26,75 ; R$ 53,50 ; R$ 0,80 ;1,52%
GUAR3F;10/09/2020;10; R$ 17,65 ; R$ 176,50 ;16/04/2021;10; R$ 17,15 ; R$ 171,50 ;-R$ 5,00 ;-2,83%
VVAR3F;10/09/2020;8; R$ 18,10 ; R$ 144,80 ;09/10/2020;8; R$ 18,90 ; R$ 151,20 ; R$ 6,40 ;4,42%
BBSE3F;11/09/2020;5; R$ 25,72 ; R$ 128,60 ;09/11/2020;5; R$ 26,75 ; R$ 133,75 ; R$ 5,15 ;4,00%
BBSE3F;11/09/2020;5; R$ 25,72 ; R$ 128,60 ;16/11/2020;5; R$ 27,50 ; R$ 137,50 ; R$ 8,90 ;6,92%
GUAR3F;11/09/2020;12; R$ 17,18 ; R$ 206,16 ;16/04/2021;12; R$ 17,15 ; R$ 205,80 ;-R$ 0,36 ;-0,17%
TIET11F;11/09/2020;10; R$ 14,73 ; R$ 147,30 ;19/10/2020;10; R$ 15,30 ; R$ 153,00 ; R$ 5,70 ;3,87%
GUAR3F;17/09/2020;30; R$ 16,77 ; R$ 503,10 ;16/04/2021;30; R$ 17,15 ; R$ 514,50 ; R$ 11,40 ;2,27%
BBSE3F;22/09/2020;15; R$ 25,30 ; R$ 379,50 ;16/11/2020;15; R$ 27,50 ; R$ 412,50 ; R$ 33,00 ;8,70%
GUAR3F;22/09/2020;20; R$ 15,53 ; R$ 310,60 ;16/04/2021;20; R$ 17,15 ; R$ 343,00 ; R$ 32,40 ;10,43%
TIET11F;22/09/2020;2; R$ 14,76 ; R$ 29,52 ;19/10/2020;2; R$ 15,30 ; R$ 30,60 ; R$ 1,08 ;3,66%
GUAR3F;09/10/2020;33; R$ 14,16 ; R$ 467,28 ;16/04/2021;33; R$ 17,15 ; R$ 565,95 ; R$ 98,67 ;21,12%
VVAR3F;27/10/2020;10; R$ 19,00 ; R$ 190,00 ;26/11/2020;10; R$ 19,15 ; R$ 191,50 ; R$ 1,50 ;0,79%
VVAR3F;09/11/2020;10; R$ 18,80 ; R$ 188,00 ;26/11/2020;10; R$ 19,15 ; R$ 191,50 ; R$ 3,50 ;1,86%
VVAR3F;10/11/2020;10; R$ 18,60 ; R$ 186,00 ;26/11/2020;10; R$ 19,15 ; R$ 191,50 ; R$ 5,50 ;2,96%
VVAR3F;10/11/2020;10; R$ 18,20 ; R$ 182,00 ;26/11/2020;10; R$ 19,15 ; R$ 191,50 ; R$ 9,50 ;5,22%
TIET11F;12/11/2020;10; R$ 15,50 ; R$ 155,00 ;26/11/2020;10; R$ 16,10 ; R$ 161,00 ; R$ 6,00 ;3,87%
VVAR3F;12/11/2020;7; R$ 18,00 ; R$ 126,00 ;26/11/2020;7; R$ 19,15 ; R$ 134,05 ; R$ 8,05 ;6,39%
VVAR3F;16/11/2020;20; R$ 17,70 ; R$ 354,00 ;26/11/2020;20; R$ 19,15 ; R$ 383,00 ; R$ 29,00 ;8,19%
VVAR3F;27/11/2020;10; R$ 18,50 ; R$ 185,00 ;;10;; R$ -   ; R$ -   ;0,00%
ABEV3F;30/11/2020;10; R$ 14,20 ; R$ 142,00 ;02/12/2020;10; R$ 14,90 ; R$ 149,00 ; R$ 7,00 ;4,93%
VVAR3F;30/11/2020;10; R$ 17,90 ; R$ 179,00 ;;10;; R$ -   ; R$ -   ;0,00%
VVAR3F;30/11/2020;10; R$ 17,65 ; R$ 176,50 ;;10;; R$ -   ; R$ -   ;0,00%
TOTS3F;01/12/2020;10; R$ 25,70 ; R$ 257,00 ;16/12/2020;10; R$ 26,70 ; R$ 267,00 ; R$ 10,00 ;3,89%
VVAR3F;01/12/2020;30; R$ 17,15 ; R$ 514,50 ;;30;; R$ -   ; R$ -   ;0,00%
ABEV3F;03/12/2020;10; R$ 14,60 ; R$ 146,00 ;10/12/2020;10; R$ 15,60 ; R$ 156,00 ; R$ 10,00 ;6,85%
TOTS3F;03/12/2020;10; R$ 25,05 ; R$ 250,50 ;16/12/2020;10; R$ 26,70 ; R$ 267,00 ; R$ 16,50 ;6,59%
GOLL4F;17/12/2020;10; R$ 26,10 ; R$ 261,00 ;26/05/2021;10; R$ 26,60 ; R$ 266,00 ; R$ 5,00 ;1,92%
BBSE3F;18/12/2020;10; R$ 29,50 ; R$ 295,00 ;14/01/2021;10; R$ 30,30 ; R$ 303,00 ; R$ 8,00 ;2,71%
BBSE3F;07/01/2021;10; R$ 28,40 ; R$ 284,00 ;14/01/2021;10; R$ 30,30 ; R$ 303,00 ; R$ 19,00 ;6,69%
VVAR3F;07/01/2021;13; R$ 15,80 ; R$ 205,40 ;;13;; R$ -   ; R$ -   ;0,00%
BBSE3F;18/01/2021;10; R$ 29,05 ; R$ 290,50 ;;10; R$ -   ; R$ -   ; R$ -   ;0,00%
GOLL4F;21/01/2021;20; R$ 22,75 ; R$ 455,00 ;26/05/2021;20; R$ 26,60 ; R$ 532,00 ; R$ 77,00 ;16,92%
TAEE3F;21/01/2021;49; R$ 10,98 ; R$ 538,02 ;;49; R$ -   ; R$ -   ; R$ -   ;0,00%
TAEE4F;21/01/2021;12; R$ 11,00 ; R$ 132,00 ;04/05/2021;12; R$ 14,50 ; R$ 174,00 ; R$ 42,00 ;31,82%
GOLL2;06/05/2021;2; R$ -   ; R$ -   ;07/05/2021;2; R$ 2,56 ; R$ 5,12 ; R$ 5,12 ;0,00%
GOLLQ210;07/05/2021;300; R$ 0,10 ; R$ 30,00 ;21/06/2021;300; R$ -   ; R$ -   ;-R$ 30,00 ;-100,00%
GOLLQ220;10/05/2021;2000; R$ 0,10 ; R$ 200,00 ;21/06/2021;2000; R$ -   ; R$ -   ;-R$ 200,00 ;-100,00%
GOLLE240;11/05/2021;200; R$ 1,10 ; R$ 220,00 ;14/05/2021;200; R$ 1,18 ; R$ 236,00 ; R$ 16,00 ;7,27%
GOLLE240;12/05/2021;400; R$ 0,70 ; R$ 280,00 ;14/05/2021;400; R$ 1,18 ; R$ 472,00 ; R$ 192,00 ;68,57%
GOLLE240;13/05/2021;200; R$ 0,65 ; R$ 130,00 ;14/05/2021;200; R$ 1,20 ; R$ 240,00 ; R$ 110,00 ;84,62%
GOLLQ210;14/05/2021;2000; R$ 0,08 ; R$ 160,00 ;21/06/2021;2000; R$ -   ; R$ -   ;-R$ 160,00 ;-100,00%
GOLLQ210;14/05/2021;5000; R$ 0,08 ; R$ 400,00 ;21/06/2021;5000; R$ -   ; R$ -   ;-R$ 400,00 ;-100,00%
GOLLQ220;17/05/2021;2000; R$ 0,07 ; R$ 140,00 ;21/06/2021;2000; R$ -   ; R$ -   ;-R$ 140,00 ;-100,00%
GOLLQ210;19/05/2021;5000; R$ 0,02 ; R$ 100,00 ;21/06/2021;5000; R$ -   ; R$ -   ;-R$ 100,00 ;-100,00%
GOLLQ220;19/05/2021;5000; R$ 0,03 ; R$ 150,00 ;21/06/2021;5000; R$ -   ; R$ -   ;-R$ 150,00 ;-100,00%
GOLLQ220;19/05/2021;2000; R$ 0,04 ; R$ 80,00 ;21/06/2021;2000; R$ -   ; R$ -   ;-R$ 80,00 ;-100,00%
KLBN3;02/06/2021;100; R$ 5,58 ; R$ 558,00 ;08/06/2021;100; R$ 5,70 ; R$ 570,00 ; R$ 12,00 ;2,15%
GOLL2;04/06/2021;200; R$ 2,30 ; R$ 460,00 ;;200; R$ -   ; R$ -   ; R$ -   ;0,00%
GOLL2;04/06/2021;400; R$ 2,09 ; R$ 836,00 ;;400; R$ -   ; R$ -   ; R$ -   ;0,00%
GOLL4F;18/12/2021;10; R$ 25,10 ; R$ 251,00 ;26/05/2021;10; R$ 26,60 ; R$ 266,00 ; R$ 15,00 ;5,98%
;;; R$ 5.735,31 ; R$ 26.927,62 ;;; R$ 5.655,33 ; R$ 22.689,37 ; R$ 69,77 ;438%
